Part Name,Quantity,Price (RON),Price (EUR),Purchase Link
CC1101 433MHz Transceiver Module,1,33.64,6.77,https://www.emag.ro/search/CC1101%20433MHZ
ATGM336H-5N GPS Module,1,49.90,10.04,https://www.emag.ro/search/ATGM336H-5N
W5500 SPI Ethernet Module,1,47.40,9.54,https://www.emag.ro/search/W5500%20SPI
NRF24L01+ PA/LNA Transceiver Set (2 pcs),1,35.78,7.20,https://www.emag.ro/search/NRF24L01%20PA%20LNA
32GB MicroSD Card (SIKS),1,59.90,12.05,https://www.emag.ro/search/Card%20MicroSD%2032GB
PN532 NFC / RFID Module,1,38.77,7.80,https://www.emag.ro/search/PN532%20RFID
Prototype Perfboard 4x6 cm (3 pcs),3,13.44,2.70,https://www.emag.ro/search/Placa%20prototipare%204x6
4-Pin LED Cable 1m,1,5.30,1.07,https://www.emag.ro/search/Cablu%20banda%20LED%20Koloreno
ESP32-S3 DevKitC-1 Board (16MB Flash),1,72.78,14.64,https://www.emag.ro/search/ESP32-S3%20DevKitC-1
Cynel Solder Wire Roll 0.5mm 100g,1,58.62,11.80,https://www.emag.ro/search/Fludor%20Cynel
Total,,415.53,83.61,
